source_id,operator_class,current_status,exact_conservation,source_selectivity,same_action_status,source_shape_reference_compatibility,supported_sectors,project_policy_authorized,empirical_status,priority_base,next_gate,closure_provenance,a11a_exact_shape_pass,a11a_identically_conserved,old_a11a_energy_closeout_transfers_automatically
ORDINARY_EM_LIKE_VECTOR,RENORMALIZABLE_VECTOR_CURRENT,CLOSED_A12C_EMPIRICAL_PHOTON_ALIGNMENT,YES,NO_FOR_ORDINARY_CHARGED_MATTER,CLASSICAL_A12B_CORRIDOR_EXISTS,ENGINEERABLE,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,True,CLOSED_IN_MINIMAL_F2_REALIZATION,0,DO_NOT_REOPEN_MINIMAL_ROUTE,,,,
DIRECT_K2_WHEELER_ORDINARY_DIRAC,WHEELER_TORSION_SOURCE,CLOSED_A11C_ALL_FINITE_NONZERO_ONSHELL_TRANSFER_IN_DECLARED_CLASS,FAILS_FULL_K2_SOURCE_SUBSPACE,N_A,ROUTE_CLOSED,N_A,MAGNETOSTATIC,True,NOT_REACHED,0,DO_NOT_REOPEN_WITH_MORE_MOMENTUM_TUNING,True,,,
UNMODIFIED_IW_AXIAL_DIRAC,AXIAL_DIRAC_CURRENT,CLOSED_A12A_MAXWELL_WARD,NO_FOR_MASSIVE_DIRAC,SPIN_DEPENDENT,UNMODIFIED_ROUTE_CLOSED,REOPENED_SOURCE_BUT_WARD_FAILED,MAGNETOSTATIC,True,NOT_REACHED,0,DO_NOT_REOPEN_UNMODIFIED_AXIAL_MAXWELL,True,,,
ELECTRON_PAULI_MAGNETIZATION,IDENTICALLY_CONSERVED_DERIVATIVE_TENSOR_CURRENT,OPEN_REEVALUATE_AGAINST_A12C_LOW_CAPACITY_KERNEL,YES_IDENTICAL,SPIN_DERIVATIVE_NOT_RENORMALIZABLE_CHARGE,LOCAL_OPERATOR_KNOWN_UV_COMPLETION_OPEN,EXACT,MAGNETOSTATIC,True,MASSLESS_DIPOLE_STELLAR_SPIN_AND_RADIATIVE_MIXING_GATE_REQUIRED,100,032H17A12D1_PAULI_SOURCE_ENERGY_UV_EMPIRICAL_GATE,,True,True,False
COMPOSITE_ATOMIC_NUCLEAR_MAGNETIZATION,COMPOSITE_MAGNETIZATION_CURL_CURRENT,OPEN,YES_AT_EFFECTIVE_MAGNETIZATION_CURRENT_LEVEL,SPIN_OR_COMPOSITE_DEPENDENT,MICROSCOPIC_MATCH_OPEN,PLAUSIBLE_NOT_CERTIFIED,MAGNETOSTATIC,True,MAGNETIC_MOMENT_SPIN_FORCE_GATE_REQUIRED,85,CANONICAL_CURRENT_PER_JOULE_BOUND,,,,
FULL_NOETHER_SOURCE_SELECTIVE_VECTOR,FULL_NOETHER_COMPLETION,OPEN,REQUIRES_EXPLICIT_SAME_ACTION_NOETHER_IDENTITY,TARGET_PROPERTY,REQUIRED_NOT_YET_CONSTRUCTED_FOR_SOURCE_SELECTIVITY,CAN_TARGET_REFERENCE_PROFILE,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,True,OPEN,90,EXPLICIT_ACTION_PLUS_ANOMALY_AND_PAYLOAD_SILENCE,,,,
INTERACTING_BOUND_STATE_DIRAC,BOUND_STATE_OR_TEXTURED_DIRAC_CURRENT,OPEN_OUTSIDE_A11C_FREE_ONSHELL_SCOPE,ACTION_DEPENDENT,POTENTIALLY_SPIN_TEXTURE_SELECTIVE,OPEN,OPEN,MAGNETOSTATIC|MIXED_EB,True,OPEN,70,BOUND_STATE_WARD_AND_CHARGE_PER_JOULE,,,,
KNOWN_PARTICLE_FLAVOR_SELECTIVE_VECTOR,FLAVOR_VECTOR_CURRENT,OPEN_REQUIRES_EXPLICIT_ANOMALY_SOURCE_LIFETIME_RECONSTRUCTION,CANDIDATE_DEPENDENT,POTENTIALLY_HIGH_FOR_ORDINARY_PAYLOAD,CANDIDATE_DEPENDENT,CURRENT_PROFILE_ENGINEERABLE_IN_PRINCIPLE,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,True,FLAVOR_FORCE_KINETIC_MIXING_AND_LIFETIME_GATE_REQUIRED,60,ANOMALY_LIFETIME_POWER_AND_MIXING_PREFLIGHT,,,,
NEUTRINO_VECTOR_CURRENT,KNOWN_PARTICLE_NEUTRINO_CURRENT,OPEN_BUT_SOURCE_CONFINEMENT_EXPECTED_DIFFICULT,MODEL_DEPENDENT,HIGH_FOR_ORDINARY_PAYLOAD,OPEN,DIFFICULT,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,True,NEUTRINO_FORCE_AND_SOURCE_POWER_GATE_REQUIRED,45,CONFINEMENT_AND_SOURCE_POWER_LOWER_BOUND,,,,
PSEUDOTENSOR_DERIVATIVE_CURRENT,IDENTICALLY_CONSERVED_DERIVATIVE_PSEUDOTENSOR,OPEN,YES_IDENTICAL_AT_DERIVATIVE_CURRENT_LEVEL,SPIN_PARITY_DEPENDENT,OPERATOR_COMPLETION_REQUIRED,DIFFERENT_FIELD_SECTOR,ELECTROSTATIC|MIXED_EB,True,EDM_CP_AND_STELLAR_GATE_REQUIRED,55,OPERATOR_STRENGTH_AND_EMPIRICAL_PREFLIGHT,,,,
CURVATURE_OR_COMPOSITE_SOURCE_CURRENT,GAUGE_INVARIANT_COMPOSITE_OR_CURVATURE_CURRENT,OPEN,MUST_BE_DERIVED,OPEN,OPEN,OPEN,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,True,OPEN_DERIVATIVE_TAX_EXPECTED,50,WARD_FIRST_THEN_CAPACITY,,,,
UNOBSERVED_HIDDEN_EXOTIC_MATTER,NEW_HIDDEN_MATTER_CURRENT,NOT_AUTHORIZED_BY_CURRENT_PROJECT_POLICY,MODEL_DEPENDENT,POTENTIALLY_HIGH,WOULD_REQUIRE_NEW_UNOBSERVED_MATTER,OPEN,MAGNETOSTATIC|ELECTROSTATIC|MIXED_EB,False,NOT_EVALUATED,0,DO_NOT_USE_UNDER_CURRENT_POLICY,,,,
