priority,operator_id,schematic_metric,local_covariant,one_physical_metric,static_g00_response,stand_off_structurally_possible,symmetry_protection_available,separate_charge_mediator_required,canonical_normalization_guard_required,static_outward_sign_structurally_possible,empirical_status,source_realization_status,project_status,reason
1,SHIFT_SYMMETRIC_X_DEPENDENT_CONFORMAL_METRIC,gphys=C(X)g+D(X)dphi_dphi,True,True,True,True,True,False,True,True,EXACT_DERIVATIVE_MATTER_OPERATOR_MATCH_REQUIRED,OPEN,OPEN_TOP_PREFIELD_CANDIDATE,STATIC_SPATIAL_X_GRADIENT_DIRECTLY_CHANGES_PHYSICAL_G00_WHILE_SHIFT_SYMMETRY_CAN_PROTECT_SCALAR
2,SHIFT_SYMMETRIC_X_DEPENDENT_DISFORMAL_TIME_GRADIENT,gphys=C(X)g+D(X)dphi_dphi_phi_equals_qt_plus_psi,True,True,True,True,True,False,True,UNRESOLVED,EXACT_OPERATOR_MATCH_REQUIRED,TIME_GRADIENT_RESERVOIR_REQUIRED,OPEN_SECONDARY_DYNAMIC_BACKGROUND,KNOWN_SHIFT_SYMMETRIC_DISFORMAL_STAR_BRANCHES_ALLOW_TIME_LINEAR_SCALAR_BUT_CONTROL_ENERGY_IS_ADDITIONAL
3,FIELD_VALUE_CONFORMAL_SCALAR_METRIC,gphys=A(phi)^2g,True,True,True,True,False,False,True,True,031F0_NATURALNESS_FATAL_FOR_TESTED_ULTRALIGHT_REALIZATION,031_CLASSICAL_REALIZATION_EXISTED,DEMOTED_UNPROTECTED_LIGHT_SCALAR,CLASSICALLY_POWERFUL_BUT_ORDINARY_MATTER_METRIC_COUPLING_DESTROYED_ULTRALIGHT_NATURALNESS_IN_031F0
4,PURE_STATIC_DISFORMAL_DPHI_DPHI,gphys=g+D(X)dphi_dphi_static_phi,True,True,False,False,True,False,True,False,NOT_RELEVANT_TO_STATIC_G00_FAILURE,STATIC_BRANCH,CLOSED_STATIC_BY_032F_AND_014_015_SCOPE,D0PHI_ZERO_IMPLIES_NO_DIRECT_STATIC_G00_METRIC_RESPONSE
5,STANDARD_STATIC_SCALAR_TENSOR_YUKAWA,F(phi)R_plus_universal_Jordan_metric,True,True,True,True,MODEL_DEPENDENT,False,True,False,MODEL_DEPENDENT,KNOWN,TESTED_STATIC_BRANCHES_ATTRACTIVE_OR_ZERO_032P_032L_032M,KNOWN_TESTED_STATIC_UNIVERSAL_BRANCHES_HAVE_NONNEGATIVE_ATTRACTIVE_STRENGTH
6,SECONDARY_TOPOLOGICAL_CHARGE_PORTAL,HOPF_OR_CS_CHARGE_PLUS_ADDED_METRIC_MEDIATOR,False,False,False,False,True,True,True,SOURCE_ONLY,UNRESOLVED,GLOBAL_SCALING_LEARNING_ONLY,DEMOTED_BY_032V9_032V10,GLOBAL_Q_SCALING_NOT_LOCAL_FINITE_PAYLOAD_METRIC_ACTIVE_CHARGE
7,VECTOR_METRIC_PORTAL,gphys=g_plus_vector_structures,True,MODEL_DEPENDENT,True,True,TESTED_PROTECTIONS_FAILED,False,True,MODEL_DEPENDENT,PREVIOUSLY_SCREENED,CLOSED_TESTED_IMPLEMENTATIONS,CLOSED_THROUGH_022A_ABSENT_GENUINELY_NEW_PROTECTION,DO_NOT_REOPEN_PROTECTED_VECTOR_IMPLEMENTATIONS
8,MINIMAL_TORSION_OR_HYPERMOMENTUM,connection_source,True,True,False,False,True,False,True,False,NOT_RELEVANT,MINIMAL_BRANCHES_CLOSED,CLOSED_OR_BLOCKED_032Q_032T_032U,ALGEBRAIC_CONNECTION_OR_NO_UNIVERSAL_ORDINARY_MATTER_PORTAL
9,MATTER_TRIGGERED_PFORM,pform_spontaneous_growth,True,True,AFTER_TRIGGER,MODEL_DEPENDENT,MODEL_DEPENDENT,False,True,UNRESOLVED,UNRESOLVED,10MJ_TRIGGER_DOMAIN_FAILED,DECLARED_032R_DOMAIN_CLOSED_FULL_CLASS_OPEN,EVEN_PLANCK_RADIUS_10MJ_ORACLE_REQUIRED_COUPLING_ABOVE_DECLARED_RANGE
10,PURE_GR_STRESS_ENERGY,Einstein_equation_Tmunu,True,True,True,True,True,False,True,True,STANDARD_GR,006D_EXISTS,PRACTICAL_SUB10MJ_CLOSED_BY_1_OVER_G_BURDEN,NO_TESTED_PURE_GR_MECHANISM_ESCAPES_E_EQUALS_C_A_C2_H2_OVER_G
