family_id,tier,priority,status,role,microscopic_source,independent_productive_charge,healthy_canonical_mode,universal_physical_metric,nonremovable_crosspropagator,source_ward_compatibility,protection_or_naturalness,active_offstate_separation,finite_payload_status,energy_status,inherited_blockers,next_gate,provenance,reason,negative_mass_required,closed,research_rank,tier0_missing,action_oracle_authorized
INTRINSIC_SOURCE_ACTIVE_STATE_UNIVERSAL_METRIC_SYNTHESIS,A,1,DESIGN_TARGET_EXPLICIT_ACTION_REQUIRED,SYNTHESIS_TARGET_NOT_YET_A_THEORY,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,NOT_YET_DEFINED,NO_ENERGY_CLAIM_ACTION_REQUIRED_FIRST,V24_TESTED_LINEAR_VECTOR_BRIDGES_CLOSED;R5_R6_SAME_LOW_ENERGY_VERTEX_EMPIRICALLY_FATAL;V22_UNPROTECTED_SINGLE_SCALE_LOCALIZATION_CLOSED,032V25A_EXPLICIT_SYMMETRY_PROTECTED_ACTIVE_STATE_PHYSICAL_METRIC_ACTION_EXISTENCE_GATE,V17_R5_R6_V24A_TO_V24D_INTROSPECTIVE,COMBINES_THE_ONLY_DURABLE_HIGH_VALUE_LESSONS:INDEPENDENT_SOURCE_CHARGE;ACTIVE_OFFSTATE_SEPARATION;ONE_UNIVERSAL_PHYSICAL_METRIC;NONREMOVABLE_CROSSPROPAGATOR,False,False,A1,microscopic_source;healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility;protection_or_naturalness,False
ACTIVE_STATE_DEPENDENT_KINETIC_METRIC_DESCREENING,A,2,OPEN_EXPLICIT_ACTION_OR_THEOREM_REQUIRED,PORTAL_SIDE_DESIGN_TARGET,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,STRUCTURALLY_POSSIBLE_NOT_RECONSTRUCTED,NO_NEW_ENERGY_OPTIMIZATION_AUTHORIZED,R4_DENSITY_ONLY_SAME_VERTEX_SCREENING_CLOSED;R5_R6_OFFSTATE_MATERIAL_FORCE_NEAR_MISS;MUST_DESCREEN_FROM_PHYSICAL_ACTIVE_STATE_NOT_PARAMETER_TUNING,EXPLICIT_SYMMETRY_PROTECTED_ACTIVE_STATE_ACTION_AND_OFFSTATE_LIMIT_THEOREM,V20_ACTIVE_X_DESCREENING_PLUS_R5_R6_PLUS_V24D,DIRECTLY_ATTACKS_THE_V17_R5_R6_NEAR_MISS_BY_REQUIRING_ACTIVE_RESPONSE_AND_OFFSTATE_EMPIRICAL_COUPLING_TO_SEPARATE_PHYSICALLY,False,False,A2,microscopic_source;healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility;protection_or_naturalness,False
SHIFT_PROTECTED_GOLDSTONE_KINETIC_METRIC_WITH_R5_EVASION,A,3,OPEN_ONLY_WITH_GENUINELY_NEW_NONPURE_J0_CONTENT,PROTECTED_KINETIC_METRIC_REMAINDER,HISTORICAL,HISTORICAL,OPEN,OPEN,OPEN,OPEN,VERIFIED,OPEN,V17_HISTORICAL_ONLY,V17_LOW_PARTIAL_HISTORICAL_CURRENT_OPERATOR_CLOSED,PURE_J0_LIMIT_CLOSED_R5_R6;V21_STATIONARY_Q_CLOSED;V22_UNPROTECTED_SINGLE_SCALE_LOCALIZATION_CLOSED,DERIVE_EXPLICIT_NONPURE_J0_MULTISCALE_OR_ACTIVE_STATE_ACTION_BEFORE_ANY_SCAN,V17_V19R6_V21_V22,SHIFT_PROTECTION_AND_V17_RESPONSE_PER_JOULE_ARE_VALUABLE_BUT_THE_FAILED_LOW_ENERGY_OPERATOR_MUST_NOT_BE_RELABELED_AND_REUSED,False,False,A3,microscopic_source;healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility,False
INTRINSIC_DIRAC_HYPERMOMENTUM_NONREMOVABLE_METRIC_BRIDGE,B,1,SOURCE_PROVENANCE_PRESERVED_BRIDGE_UNRESOLVED,SOURCE_SIDE_KNOWLEDGE,VERIFIED,VERIFIED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,NOT_ESTABLISHED,SOURCE_CHARGE_PER_JOULE_NOT_ESTABLISHED,V24A_WEYL_TRACE_ZERO;V24B_DIRECT_UNCOMPENSATED_FRONSDAL_SPIN3_CLOSED;V24C_CLEAN_REST_PAIR_TS_SPIN1_CLOSED;V24D_TESTED_PROTECTED_LINEAR_VECTOR_BRIDGES_CLOSED,ONLY_REOPEN_WITH_AN_EXPLICIT_ACTION_CONTAINING_A_NONREMOVABLE_UNIVERSAL_METRIC_CROSSPROPAGATOR,V24A_V24B_V24C_V24D,EXPLICIT_INTRINSIC_DIRAC_SOURCE_IS_REAL_SOURCE_KNOWLEDGE_BUT_NO_TESTED_HEALTHY_UNIVERSAL_METRIC_BRIDGE_SURVIVED,False,False,B1,healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility;protection_or_naturalness,False
PROTECTED_FIELD_VALUE_CONFORMAL_SCALAR_METRIC,B,2,OPEN_ONLY_WITH_GENUINELY_NEW_PROTECTION,DIRECT_METRIC_CLASS_WITH_HISTORICAL_SOURCE,HISTORICAL,HISTORICAL,HISTORICAL,VERIFIED,VERIFIED,NOT_APPLICABLE,FAILED,OPEN,031_HISTORICAL_CLASSICAL_RESPONSE,031_HISTORICAL_GJ_SCALE_NOT_CURRENT_TARGET,031F0_UNPROTECTED_ULTRALIGHT_SCALAR_CLOSED;DO_NOT_REOPEN_WITHOUT_NEW_RADIATIVE_PROTECTION,NEW_EXACT_PROTECTION_THEOREM_BEFORE_SOURCE_OPTIMIZATION,031_THROUGH_031F0,DIRECT_UNIVERSAL_METRIC_PORTAL_IS_STRUCTURALLY_STRONG_BUT_TESTED_ULTRALIGHT_REALIZATION_FAILED_NATURALNESS_EMPIRICAL_GATES,False,False,B2,microscopic_source;healthy_canonical_mode;source_ward_compatibility;protection_or_naturalness,False
MATTER_TRIGGERED_PFORM_BROADER_DOMAIN,B,3,BROADER_CLASS_OPEN_TESTED_032R_DOMAIN_CLOSED,TRIGGERED_GEOMETRIC_FIELD_CLASS,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,UNRESOLVED,TESTED_TRIGGER_DOMAIN_FAILED,032R_DECLARED_DOMAIN_CLOSED_DO_NOT_RESCAN,NEW_TRIGGER_SCALING_OR_NONREMOVABLE_METRIC_PORTAL_THEOREM_REQUIRED_BEFORE_REOPENING,032R_BROADER_PFORM_REMAINDER,BROADER_PFORM_PHYSICS_NOT_FORMALLY_CLOSED_BUT_NO_CURRENT_COMPLETE_SOURCE_TO_UNIVERSAL_METRIC_CHAIN,False,False,B3,microscopic_source;healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility;protection_or_naturalness,False
BROAD_SPECTRAL_LINEAR_SCALAR_TOWER,C,1,LOW_PRIORITY_SEVERE_EMPIRICAL_AND_SCAFFOLDING_PRESSURE,MULTI_MEDIATOR_DIRECT_METRIC_CLASS,OPEN,OPEN,OPEN,VERIFIED,VERIFIED,NOT_APPLICABLE,OPEN,FAILED,STRUCTURALLY_POSSIBLE,NO_CURRENT_PRACTICAL_SURVIVOR,R3_SINGLE_SCALAR_CLOSED;R4_NARROW_BAND_TOWER_CLOSED;SAME_LOW_ENERGY_TRACE_PORTALS_INHERIT_FIFTH_FORCE_PRESSURE,ONLY_REVISIT_WITH_NEW_SPECTRAL_SUM_RULE_AND_OFFSTATE_EVASION,R3_R4,DIRECT_METRIC_RESPONSE_EXISTS_BUT_EMPIRICAL_AND_SCAFFOLDING_TAX_DOMINATES,False,False,C1,microscopic_source;healthy_canonical_mode;source_ward_compatibility;protection_or_naturalness;active_offstate_separation,False
SECONDARY_TOPOLOGICAL_SHARED_SCAFFOLD,C,2,SOURCE_SIDE_INTERESTING_PORTAL_SIDE_UNSOLVED,SOURCE_ONLY_ARCHITECTURE,VERIFIED,OPEN,OPEN,FAILED,FAILED,OPEN,VERIFIED,OPEN,NO_METRIC_ACTIVE_PROMOTION,PORTAL_DOMINATED,V9_V10_NO_FINITE_PAYLOAD_METRIC_ACTIVE_PROMOTION,NO_REOPEN_WITHOUT_DIRECT_LOCAL_NONREMOVABLE_UNIVERSAL_METRIC_PORTAL,V7_V8_V9_V10,COLLECTIVE_SOURCE_SCALING_ALONE_IS_NOT_ANTIGRAVITY,False,False,C2,healthy_canonical_mode;universal_physical_metric;nonremovable_crosspropagator;source_ward_compatibility,False
V21_STATIONARY_Q_TIME_GRADIENT_DISFORMAL,CLOSED,1,CLOSED_STATIONARITY_INVERTIBILITY_COSMOLOGY,CLOSED_DYNAMIC_DISFORMAL_REALIZATION,FAILED,OPEN,OPEN,VERIFIED,VERIFIED,NOT_APPLICABLE,VERIFIED,OPEN,LOCAL_SIGN_MECHANISM_KNOWLEDGE_ONLY,REFERENCE_LOCAL_FIELD_INVENTORY_LOW_BUT_ROUTE_CLOSED,V21_STATIONARY_Q_INTEGRABILITY_PLUS_INVERTIBILITY_COSMOLOGY,NONE_SAME_STATIONARY_Q_ARCHITECTURE,032V21,LOCAL_OUTWARD_SIGN_DID_NOT_SUPPLY_A_REALIZABLE_STATIONARY_RESERVOIR,False,True,,microscopic_source;healthy_canonical_mode;source_ward_compatibility,False
V22_UNPROTECTED_SINGLE_SCALE_LOCALIZED_DISFORMAL,CLOSED,2,CLOSED_NATURALNESS_ENERGY_FLOOR,CLOSED_LOCALIZED_DYNAMIC_DISFORMAL_REALIZATION,OPEN,OPEN,OPEN,VERIFIED,VERIFIED,NOT_APPLICABLE,FAILED,OPEN,KINEMATICALLY_OPEN,OPTIMISTIC_LOWER_FLOOR_ABOUT_275_MJ,V22_UNPROTECTED_SINGLE_SCALE_EFT,ONLY_EXPLICIT_PROTECTED_MULTISCALE_VARIANT,032V22,LOCALIZATION_DID_NOT_SURVIVE_NATURALNESS_PLUS_ABSOLUTE_ENERGY,False,True,,microscopic_source;healthy_canonical_mode;source_ward_compatibility;protection_or_naturalness,False
