research_rank,family_id,tier,priority,status,closed,action_readiness,universal_metric_response,stand_off_status,protection_status,source_burden,support_control_burden,mechanism_prior_alignment,inherited_blockers,next_gate,provenance,reason,negative_mass_required
A1,SHIFT_SYMMETRIC_TIME_GRADIENT_DISFORMAL_METRIC,A,1,PREFIELD_OPEN_HIGHEST_PRIORITY,False,LITERATURE_THEORY_CLASS,DIRECT_KINETIC_DEPENDENT_CONFORMAL_DISFORMAL_METRIC,STRUCTURALLY_POSSIBLE_SIGN_UNRESOLVED,EXACT_SHIFT_SYMMETRY_AVAILABLE,TIME_GRADIENT_RESERVOIR_PLUS_LOCAL_PROFILE,RESERVOIR_ACTIVATION_AND_CONTROL_OPEN,HIGH_IF_BACKGROUND_RESOURCE_CAN_BE_SHARED_AND_LOW_TAX,MUST_NOT_REDUCE_TO_R5_PURE_J0_STATIC_OPERATOR;OFFSTATE_QUANTUM_FORCE_OPEN;ABSOLUTE_BACKGROUND_ENERGY_OPEN,032V21_TIME_GRADIENT_DISFORMAL_SIGN_RESERVOIR_ENERGY_AND_OFFSTATE_QUANTUM_PREFLIGHT,V12_OPEN_SECONDARY_DYNAMIC_BACKGROUND;IKEDA_IYONAGA_KOBAYASHI_PRD104_104009_2021,TIME_LINEAR_SHIFT_BACKGROUND_IS_A_REAL_THEORY_BRANCH;DIRECT_PHYSICAL_METRIC_RESPONSE;STRUCTURALLY_DISTINCT_FROM_CLOSED_STATIC_PURE_J0_SOURCE,False
A2,PROPAGATING_NONMETRICITY_HEALTHY_SINGLE_MODE,A,2,PREFIELD_OPEN_NEW_EXTENSION,False,LITERATURE_HEALTHY_FREE_PROPAGATOR_CLASS,MATTER_PORTAL_UNRESOLVED,UNRESOLVED,HEALTHY_SINGLE_MODE_PARAMETER_CONDITIONS_EXIST,ORDINARY_MATTER_OR_HYPERMOMENTUM_SOURCE_UNRESOLVED,UNRESOLVED,MEDIUM_HIGH_IF_DIRECT_UNIVERSAL_METRIC_MODE_EXISTS,MINIMAL_MAG_Q_T_U_BRANCHES_REMAIN_CLOSED;MUST_DEMONSTRATE_GENUINELY_PROPAGATING_EXTENSION;NO_USEFUL_MATTER_PORTAL_YET,032V21B_PROPAGATING_NONMETRICITY_MATTER_PORTAL_SIGN_AND_SOURCE_EXISTENCE_PREFLIGHT,MIKURA_PERCACCI_EPJC85_377_2025;DIMENSION_LE_4_SYMMETRIC_MAG_PROPAGATING_MODE,NEW_PROPAGATING_NONMETRICITY_KINETIC_TERMS_ARE_DISTINCT_FROM_PREVIOUS_MINIMAL_ALGEBRAIC_MAG_CLOSEOUTS,False
B1,SHIFT_PROTECTED_GOLDSTONE_KINETIC_METRIC_WITH_R5_EVASION,B,1,OPEN_ONLY_WITH_NONPURE_J0_LOW_ENERGY_CONTENT,False,MICROSCOPIC_PROVENANCE_EXISTS_BUT_REQUIRED_EVASION_NOT_BUILT,KINETIC_METRIC,POSSIBLE_ONLY_AFTER_NEW_OPERATOR_SIGN_GATE,SHIFT_GOLDSTONE_PROTECTION_AVAILABLE,NEW_SOURCE_MATCHING_REQUIRED,OPEN,HIGH_IF_R5_FORCE_CAN_BE_REMOVED_WITHOUT_STATIC_RESPONSE_LOSS,PURE_J0_LIMIT_BLOCKED_BY_R5_R6;ADDITIONAL_LOW_ENERGY_OPERATOR_CONTENT_REQUIRED,DERIVE_EXPLICIT_NONPURE_J0_ACTION_BEFORE_ANY_SCAN,R4_GOLDSTONE_SURVIVOR_RECLASSIFIED_BY_R5_R6,GOLDSTONE_LABEL_ALONE_DOES_NOT_EVADE_R5;ONLY_A_PHYSICAL_LOW_ENERGY_AMPLITUDE_CHANGE_COUNTS,False
B2,ACTIVE_STATE_DEPENDENT_KINETIC_METRIC_DESCREENING,B,2,YELLOW_NEW_PHYSICS,False,CONCEPT_REQUIRES_EXPLICIT_ACTION,TARGET_DIRECT_METRIC_RESPONSE,STRUCTURALLY_POSSIBLE,MODEL_DEPENDENT,ENGINEERED_ACTIVE_STATE_REQUIRED,ACTIVATION_RESET_OFFSTATE_LEDGER_REQUIRED,HIGH_IF_OFFSTATE_AND_ACTIVE_STATE_COUPLINGS_SEPARATE_PHYSICALLY,DENSITY_ONLY_SAME_VERTEX_SCREENING_CLOSED_R4;MUST_DESCREEN_FROM_ENGINEERED_STATE_NOT_PARAMETER_TUNING,EXPLICIT_ACTION_OR_THEOREM_BEFORE_PARAMETERIZATION,R4_ACTIVE_X_DESCREENING_OPEN,ONLY_SCREENING_IDEA_THAT_CAN_IN_PRINCIPLE_SEPARATE_OFFSTATE_EMPIRICAL_FORCE_FROM_ACTIVE_METRIC_RESPONSE,False
B3,PROTECTED_FIELD_VALUE_CONFORMAL_SCALAR_METRIC,B,3,OPEN_ONLY_WITH_GENUINELY_NEW_PROTECTION,False,CLASS_KNOWN_NEW_PROTECTION_ABSENT,DIRECT_UNIVERSAL_CONFORMAL,CLASSICALLY_POSSIBLE,MUST_BE_NEW_RELATIVE_TO_031F0,MICROSCOPIC_SOURCE_KNOWN_IN_031_BUT_NOT_REUSABLE_AS_IS,OPEN,MEDIUM,031F0_UNPROTECTED_ULTRALIGHT_IMPLEMENTATION_CLOSED;OFFSTATE_EMPIRICAL_GATE_REQUIRED_FIRST,PROTECTION_AND_EMPIRICAL_PREFLIGHT_BEFORE_SOURCE_ENERGY,031_HISTORICAL_CLASSICAL_REALIZATION_031F0_CLOSEOUT,CLASSICALLY_POWERFUL_BUT_REOPENING_REQUIRES_A_NEW_RADIATIVE_PROTECTION_MECHANISM,False
B4,MATTER_TRIGGERED_PFORM_BROADER_DOMAIN,B,4,BROADER_CLASS_OPEN_TESTED_032R_DOMAIN_CLOSED,False,LITERATURE_SPONTANEOUS_GROWTH_CLASS,MODEL_DEPENDENT,UNRESOLVED,GAUGE_OR_FORM_SYMMETRY_MODEL_DEPENDENT,TRIGGER_AND_LOCALIZATION_OPEN,TRIGGER_ENERGY_AND_RESET_OPEN,MEDIUM_LOW,032R_DECLARED_10MJ_TRIGGER_DOMAIN_REMAINS_CLOSED;DO_NOT_RESCAN_SAME_DOMAIN,NEW_TRIGGER_SCALING_THEOREM_REQUIRED_BEFORE_REOPENING,RAMAZANOGLU_PFORM_SPONTANEOUS_GROWTH_CLASS,BROADER_PFORM_PHYSICS_EXISTS_BUT_EXISTING_PROJECT_TRIGGER_DOMAIN_ALREADY_FAILED,False
C1,BROAD_SPECTRAL_LINEAR_SCALAR_TOWER,C,1,MATHEMATICALLY_NOT_CLOSED_LOW_PRIORITY,False,EXPLICIT_ACTION_CLASS,DIRECT_TRACE_PORTAL,STRUCTURALLY_POSSIBLE,MODEL_DEPENDENT,MULTI_MEDIATOR,HIGH,LOW_DUE_SCAFFOLD_AND_COMPANION_TAX,R3_SINGLE_SCALAR_CLOSED;R4_NARROW_BAND_TOWER_CLOSED;FULL_MULTI_YUKAWA_LIKELIHOOD_NOT_RECONSTRUCTED,ONLY_REVISIT_IF_NEW_SPECTRAL_SUM_RULE_BEATS_R4_CAUCHY_BURDEN,R4_BROAD_SPECTRAL_TOWER_YELLOW,NOT_FORMALLY_CLOSED_BUT_INHERITS_SEVERE_EMPIRICAL_AND_COMPANION_OPERATOR_PRESSURE,False
C2,DERIVATIVE_HYPERMOMENTUM_MULTIPOLE_PORTAL,C,2,BROADER_MAG_QUESTION_OPEN,False,NO_DEVICE_ACTION_SELECTED,UNRESOLVED,UNRESOLVED,GEOMETRIC_SYMMETRY_MODEL_DEPENDENT,NONSTANDARD_HYPERMOMENTUM_SOURCE_REQUIRED,HIGH_UNRESOLVED,MEDIUM_IF_MULTIPOLE_KERNEL_LEVERAGE_EXISTS,MINIMAL_TORSION_AND_MAG_BRANCHES_CLOSED;MUST_NOT_REOPEN_Q_T_U_WITHOUT_PROPAGATING_NEW_SECTOR,SOURCE_EXISTENCE_AND_ORDINARY_MATTER_METRIC_RESPONSE_THEOREM,032S_T_U_BROADER_DERIVATIVE_MULTIPOLE_REMAINDER,ONLY_BROADER_DERIVATIVE_MULTIPOLE_EXTENSION_REMAINS;MINIMAL_CONNECTION_SOURCE_MECHANISMS_ALREADY_FAILED,False
C3,SECONDARY_TOPOLOGICAL_SHARED_SCAFFOLD,C,3,DEMOTED,False,SOURCE_ACTION_ORACLES_EXIST_METRIC_PORTAL_ABSENT,SEPARATE_PORTAL_REQUIRED,SOURCE_ONLY_NOT_ESTABLISHED,TOPOLOGICAL,SHARED_SCAFFOLD_CAN_SCALE_FAVORABLY,METRIC_PORTAL_DOMINATES,SOURCE_SIDE_INTERESTING_PORTAL_SIDE_BAD,V9_V10_NO_FINITE_PAYLOAD_METRIC_ACTIVE_PROMOTION,NO_REOPEN_WITHOUT_DIRECT_LOCAL_UNIVERSAL_METRIC_PORTAL,V7_V8_V9_V10_ACTION_ORACLE_HISTORY,COLLECTIVE_SOURCE_SCALING_ALONE_IS_NOT_ANTIGRAVITY,False
,CURRENT_HIDDEN_AXIAL_PURE_J0_KINETIC_CONFORMAL,CLOSED,1,CLOSED_R6,True,MICROSCOPIC_PARTIAL_REALIZATION_EXISTED,PURE_J0_STATIC_KINETIC_CONFORMAL,FINITE_PAYLOAD_OUTWARD_CLASSICALLY_PRESENT,SHIFT_SYMMETRY,HIDDEN_AXIAL_SOURCE,V19_BAG_PREFLIGHT,STRONG_BUT_EMPIRICALLY_INCOMPATIBLE,R5_CASIMIR_EMPIRICAL_RED;R6_POSITIVE_J2_CANCELLATION_CLOSED;R6_EMPIRICAL_ENERGY_OVERLAP_EMPTY,NONE_CURRENT_IMPLEMENTATION_CLOSED,032V13_THROUGH_032V19R6,EMPIRICAL_METRIC_MIN_123P456884_KEV_EXCEEDS_STRICT_PARTIAL_ENERGY_MAX_122P996182_KEV,False
,PURE_STATIC_DISFORMAL_DPHI_DPHI,CLOSED,2,CLOSED_STATIC_G00,True,KNOWN_OPERATOR,NO_STATIC_G00_RESPONSE,NO_DIRECT_STATIC_STANDOFF,SHIFT_SYMMETRY,NOT_RELEVANT,NOT_RELEVANT,LOW,032F_AND_014_015_STATIC_CLOSURE,NONE_WITHOUT_TIME_GRADIENT_OR_NEW_PHYSICS,V12_PRESERVED_CLOSURE,D0PHI_ZERO_REMOVES_DIRECT_STATIC_DISFORMAL_G00_SHIFT,False
,VECTOR_METRIC_PORTAL_PROTECTED_IMPLEMENTATIONS,CLOSED,3,CLOSED_THROUGH_022A,True,TESTED,MODEL_DEPENDENT,TESTED_IMPLEMENTATIONS_FAILED,TESTED_PROTECTIONS_FAILED,CLOSED,CLOSED,DO_NOT_REOPEN,018_022_FAILURE_MEMORY,ONLY_GENUINELY_NEW_PROTECTION,018C_THROUGH_022A,PROTECTED_VECTOR_IMPLEMENTATIONS_ALREADY_EXHAUSTED,False
,INDEPENDENT_MULTISCALAR_032G_032H,CLOSED,4,CLOSED_TESTED_ARCHITECTURE,True,DEEPLY_SCANNED,CORRECTED_SOURCE_AWARE,NO_PRACTICAL_SURVIVOR,NOT_SAVING,SCALES_WITH_CHANNEL_COUNT,HIGH,COLLECTIVE_RESPONSE_NOT_FASTER_THAN_COST,APPROX_51_MILLION_EVALUATIONS_NO_LT10MJ,NONE_SAME_ARCHITECTURE,032G_032H,INDEPENDENT_CHANNEL_SCALING_DOES_NOT_IMPROVE_COMPLETE_EFFICIENCY,False
,PURE_GR_PRACTICAL_LT10MJ,CLOSED,5,CLOSED_BY_1_OVER_G_BURDEN,True,006D_TRUE_STANDOFF_EXISTS,GR,PROVEN,NOT_APPLICABLE,FUNDAMENTAL_1_OVER_G_SCALE,ENORMOUS,SIGN_GOOD_ENERGY_FATAL,024_030_NO_TESTED_ESCAPE,NONE_WITHOUT_GENUINELY_NEW_GAIN_PHYSICS,006D_AND_024_030,TRUE_STANDOFF_DOES_NOT_IMPLY_PRACTICAL_ENERGY,False
